Time,Rodada 1,Rodada 2,Rodada 3,Rodada 4,Rodada 5,Rodada 6,Rodada 7,Rodada 8,Rodada 9,Rodada 10,Rodada 11,Rodada 12,Rodada 13,Rodada 14,Rodada 15,Rodada 16,Rodada 17,Rodada 18,Rodada 19
Athlético Paranaense,f,c,f,c,c,f,c,f,c,c,f,c,f,c,f,c,f,c,f
Atlético Goianiense,f,c,c,f,f,c,f,c,f,f,c,c,f,f,c,f,c,c,f
Atlético Mineiro,f,c,c,f,f,c,c,f,f,c,f,c,c,f,c,c,f,c,f
Bahia,f,c,c,f,f,c,c,f,c,c,f,f,c,c,f,f,c,c,f
Botafogo,c,f,f,c,f,c,c,f,f,c,c,f,c,c,f,f,c,f,c
Ceará,f,c,f,c,c,f,c,c,f,c,f,c,f,f,c,c,f,c,f
Corinthians,c,f,f,c,c,f,f,c,c,f,c,f,f,c,f,f,c,f,c
Coritiba,c,f,c,f,f,c,f,c,f,f,c,f,c,f,c,f,c,f,c
Flamengo,c,f,f,c,c,f,f,c,c,f,c,f,c,c,f,c,f,f,c
Fluminense,f,c,c,f,f,c,c,f,f,c,f,c,f,f,c,f,c,c,f
Fortaleza,c,f,c,f,f,c,f,f,c,f,c,f,c,c,f,f,c,f,c
Goiás,c,f,f,c,c,f,c,f,c,c,f,f,c,c,f,c,f,f,c
Grêmio,c,f,c,f,f,c,c,f,f,c,c,f,c,c,f,c,f,f,c
Internacional,f,c,f,c,c,f,f,c,c,f,f,c,f,f,c,f,c,c,f
Palmeiras,c,f,c,f,c,f,c,f,f,c,f,c,c,f,c,c,f,f,c
Red Bull Bragantino,f,c,f,c,c,f,f,c,f,f,c,f,c,c,f,f,c,c,f
Santos,c,f,c,f,f,c,c,f,c,c,f,c,f,f,c,c,f,f,c
São Paulo,f,c,f,c,f,c,f,c,c,f,c,f,f,c,f,f,c,c,f
Sport,c,f,f,c,c,f,f,c,f,f,c,c,f,f,c,c,f,f,c
Vasco da Gama,f,c,c,f,c,f,f,c,c,f,f,c,f,f,c,c,f,c,f
